assessment_number;brand_name;active_substance;disease_area;indication;gba_procedure_start_date;gba_first_resolution_date;gba_current_resolution_date;bundled_assessment;undergone_reevaluation;indication_label;subpopulation;patient_population_min;patient_population_max;patient_population_avg;appropriate_comparative_therapy;additional_benefit;applicant_company;assessment_status;full_assessment_status;assessment_type;gba_orphan_drug_status_during_evaluation;therapeutic_area;additional_benefit_best_subpopulation;endpoints;study_design;procedure_number;study_comparator
170;Giotrif;afatinib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, EGFR mutation, EGFR-TKI-naïve patients;2015-05-15;2014-05-08;2015-11-05;No;Yes;GIOTRIF as monotherapy is used to treat EGFR-TKI-naïve adult patients with locally advanced and/or metastatic non-small cell lung cancer (NSCLC) with activating EGFR mutations.;1c) Non-pretreated patients with ECOG performance status 0 or 1. Patient group with other EGFR mutations;360.0;840.0;600.0;"- Gefitinib or erlotinib or
- cisplatin in combination with a third-generation cytostatic (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed), taking into account the approval status, or
- carboplatin in combination with a third-generation cytostatic (only for patients with an increased risk of cisplatin-induced side effects in the context of combination therapy";No additional benefit;Boehringer Ingelheim Pharma GmbH & Co. KG;Valid;Valid;Reassessment: deadline expiration;No;Oncology;Major additional benefit;progression‑free survival, overall survival, objective response rate, symptomatology (EORTC QLQ‑C30, EORTC QLQ‑LC13), health‑related quality of life (EORTC QLQ‑C30, EQ‑5D), adverse events;"LUX-Lung 3 (NCT00949650):  
Randomized controlled trial (RCT), open, parallel, active controlled, Phase III study, multicenter (multinational).  

LUX-Lung 6 (NCT01121393):  
RCT, open, parallel, active controlled, Phase III study, multicenter (multinational).";2015-05-15-D-163;"LUX-Lung 3 (NCT00949650):  
Cisplatin + Pemetrexed  

LUX-Lung 6 (NCT01121393):  
Cisplatin + Gemcitabine"
224;Tagrisso;osimertinib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, T790M-EGFR mutation;2016-03-15;2016-09-15;2016-09-15;No;No;TAGRISSO is indicated for the treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) and a positive epidermal growth factor receptor (EGFR) T790M mutation.;2) Treatment-naïve patients with a de novo positive T790M mutation;10.0;50.0;30.0;"Gefitinib or erlotinib or afatinib
(only for patients with activating EGFR mutations
 or
Patients with ECOG performance status 0, 1 or 2:
 − cisplatin in combination with a third-generation cytostatic agent (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed) taking into account the approval
or
 − carboplatin in combination with a third-generation cytostatic drug (only for patients with an increased risk of cisplatin-induced side effects as part of combination therapy
Patients with ECOG performance status 2:
− alternative to platinum-based combination treatment: monotherapy with gemcitabine or vinorelbine";No additional benefit;AstraZeneca GmbH;Valid;Changed;First indication;No;Oncology;No additional benefit;FEV1, asthma symptoms, exacerbations, health-related quality of life, adverse events, morbidity, objective response rate (ORR), best overall response (BOR), progression-free survival (PFS), safety, AEs, SAEs, treatment discontinuations due to AEs, AEs with CTCAE grade ≥3, AEs with a frequency of ≥10%, exploratory endpoints, health-related quality of life and patient-reported symptoms, safety/tolerability, ORR, overall survival, progression-free survival, disease control rate, quality of life, symptomatology;"Study 1:  
Randomized Controlled Trial (RCT), double-blind, parallel";2016-03-15-D-219;"Study 1:  
Placebo"
664;Retsevmo;selpercatinib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, RET-fusion+, after platinum-based chemotherapy and/or immunotherapy;2021-03-15;2021-09-02;2021-09-02;No;No;"Retsevmo as monotherapy is used to treat adults with advanced RET fusion-positive non-small cell lung cancer (NSCLC) who require systemic therapy following platinum-based chemotherapy and/or treatment with immunotherapy.
Retsevmo as monotherapy is used to treat adults and adolescents aged 12 years and older with advanced RET-mutated medullary thyroid carcinoma (MTC) who require systemic therapy following treatment with cabozantinib and/or vandetanib.
Retsevmo as monotherapy is used to treat adults with advanced RET fusion-positive thyroid cancer who require systemic therapy following treatment with sorafenib and/or lenvatinib.";"a) Adults with RET fusion-positive advanced non-small cell lung cancer (NSCLC) for whom systemic therapy is indicated; after first-line therapy with a PD-1/PD-L1 antibody as monotherapy";5.0;20.0;13.0;"- Cisplatin in combination with a third-generation cytostatic (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed (except in the case of predominantly squamous histology)) or
- carboplatin in combination with a third-generation cytostatic agent (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed (except in the case of predominantly squamous histology)) or
- carboplatin in combination with nab-paclitaxel or
- monotherapy with gemcitabine or vinorelbine (only for patients with ECOG performance status 2 as an alternative to platinum-based combination treatment)";No additional benefit;Lilly Deutschland GmbH;Valid;Valid;First indication;No;Oncology;No additional benefit;Determination of the maximum tolerated dose (MTD) and the recommended phase 2 dose, Assessment of safety and tolerability, Characterization of the pharmacokinetic profile, Determination of the objective response rate, Determination of the objective response rate (confirmed by the IRC), Determination of the objective response rate (according to the investigator), Objective response rate in the central nervous system, Best overall response, Duration of response (overall and in the central nervous system), Time to response, Disease control rate, Progression-free survival, Overall survival, Safety and tolerability;"LIBRETTO-001:
International, multicenter, open Phase 1/2 study conducted in two phases (dose escalation and dose expansion)";2021-03-15-D-655;LIBRETTO-001: Comparative therapy (ZVT): For advanced NSCLC with RET fusion, platinum-based chemotherapy and/or PD-1/PD-L1 inhibitors (either as monotherapy or in combination) are typically used as standard treatment. These comparison groups serve as a reference for assessing the added benefit of Selpercatinib in the appropriate subpopulations.
288;Mekinist;trametinib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, BRAF V600 mutation;2017-05-01;2017-10-19;2017-10-19;No;No;Trametinib (Mekinist®) in combination with dabrafenib is indicated for the treatment of adult patients with advanced non-small cell lung cancer with a BRAF V600 mutation.;2b) Patients with previous treatment for whom therapy with docetaxel and pemetrexed is not indicated;80.0;350.0;215.0;Best supportive care (BSC);No additional benefit;Novartis Pharma GmbH;Valid;Valid;New application area;No;Oncology;No additional benefit;FEV1, asthma symptoms, exacerbations, health-related quality of life, adverse events;"Study 1:  
RCT (Randomized Controlled Trial), double-blind, parallel";2017-05-01-D-284;Study 1: Active comparative therapy: Platinum-based chemotherapy (e.g., cisplatin or carboplatin in combination with a third-generation cytostatic)
452;Keytruda;pembrolizumab;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, non-squamous cell histology, first-line, combination with pemetrexed and platinum chemotherapy;2019-04-01;2019-09-19;2019-09-19;No;No;KEYTRUDA is indicated in combination with pemetrexed and platinum chemotherapy for the first-line treatment of metastatic non-squamous NSCLC without EGFR- or ALK-positive tumor mutations in adults.;a) Adult patients with first-line treatment of metastatic non-squamous NSCLC without EGFR- or ALK-positive tumor mutations with a PD-L1 expression of < 50 % (TPS1);5700.0;6480.0;6090.0;"- Cisplatin in combination with a third-generation cytostatic (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed) or
- carboplatin in combination with a third-generation cytostatic (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed or
- carboplatin in combination with nab-paclitaxel";Non-quantifiable additional benefit;MSD Sharp & Dohme GmbH;Valid;Valid;New application area;No;Oncology;Non-quantifiable additional benefit;Overall survival, Progression-free survival, Objective response rate, Duration of response, Health-related quality of life and disease symptomatology measured by EORTC QLQ-C30, EORTC QLQ-LC13, and EQ-5D VAS, Adverse events;"KEYNOTE 021G:  
Phase II, Randomized, Active-Controlled, Multicenter, Open

KEYNOTE 189:  
Phase III, Randomized, Active-Controlled, Global, Multicenter, Double-Blind, Cross-Over[a]";2019-04-01-D-447;"KEYNOTE 021G:  
Platinum-based chemotherapy  

KEYNOTE 189:  
Placebo"
1135;Mektovi;binimetinib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, advanced, BRAF V600E mutation, combination with encorafenib;2024-10-01;2025-03-20;2025-03-20;No;No;Binimetinib in combination with Encorafenib is used in adult patients with advanced non-small cell lung cancer (NSCLC) with a BRAF V600E mutation.;"a) Adults with advanced non-small cell lung cancer (NSCLC) with PD-L1 expression ≥ 50% and a BRAF V600E mutation; first-line therapy";31.0;102.0;67.0;"− Dabrafenib in combination with trametinib, or
− pembrolizumab as monotherapy, or
− atezolizumab as monotherapy, or
− cemiplimab as monotherapy, or
− nivolumab in combination with ipilimumab and 2 cycles of platinum-based chemotherapy (only for patients with ECOG PS 0–1), or
− pembrolizumab in combination with pemetrexed and platinum-based chemotherapy (only for patients with ECOG PS 0–1), or
− atezolizumab in combination with bevacizumab, paclitaxel, and carboplatin (only for patients with ECOG PS 0–1), or
− atezolizumab in combination with nab-paclitaxel and carboplatin (only for patients with ECOG PS 0–1), or
− cemiplimab in combination with platinum-based chemotherapy (only for patients with ECOG PS 0–1), or
− durvalumab in combination with tremelimumab and platinum-based chemotherapy (only for patients with ECOG PS 0–1).";No additional benefit;Pierre Fabre Pharma GmbH;Valid;Valid;New application area;No;Oncology;No additional benefit;;;2024-10-01-D-1113;
87;Giotrif;afatinib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, EGFR mutation, EGFR-TKI-naïve patients;2013-11-15;2014-05-08;2014-05-08;No;No;Giotrif® as monotherapy is used for the treatment of EGFR-TKI-naive adult patients with locally advanced and/or metastatic non-small cell lung cancer (NSCLC) with activating EGFR mutations.;3) Patients pretreated with one or more chemotherapy(ies);40.0;170.0;105.0;Gefitinib or erlotinib;No additional benefit;Boehringer Ingelheim Pharma GmbH & Co. KG;Repealed;Repealed;First indication;No;Oncology;Considerable additional benefit;Progression-free survival, Overall Survival, Objective Response Rate, Symptomatology (EORTC QLQ-C30, EORTC QLQ-LC13), Health-related quality of life (EORTC QLQ-C30, EQ-5D), Adverse events;"LUX-Lung 3 (NCT00949650):  Randomized controlled trial (RCT), open-label, parallel, active-controlled, Phase III study, multicenter multinational

LUX-Lung 6 (NCT01121393):  Randomized controlled trial (RCT), open-label, parallel, active-controlled, Phase III study, multicenter multinational";2013-11-15-D-082;"NCT00949650:  
Cisplatin + Pemetrexed  

NCT01121393:  
Cisplatin + Gemcitabine"
1100;Alecensa;alectinib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, ALK+, high risk of recurrence, adjuvant therapy;2024-07-15;2025-01-16;2025-01-16;No;No;Alecensa is used as monotherapy for the adjuvant treatment of adult patients with ALK-positive NSCLC at high risk of recurrence following complete tumor resection.;a) Adults with ALK-positive NSCLC at high risk of recurrence for adjuvant treatment after complete tumor resection, who are eligible for adjuvant platinum-based chemotherapy.;230.0;452.0;341.0;"Patient-specific postoperative (adjuvant) systemic chemotherapy with the selection of
- cisplatin in combination with vinorelbine, and
- cisplatin in combination with pemetrexed,
taking into account the patient’s general condition.";Major additional benefit;Roche Pharma AG;Valid;Valid;New application area;No;Oncology;Major additional benefit;"DFS (investigator-assessed), Overall Survival, DFS rates (after 3, 4, and 5 years), Localization of the first recurrence or a new primary NSCLC, CNS-DFS, PRO: SF-36v2 and EQ5D VAS, Pharmacokinetics, Biomarker, Adverse events; laboratory parameters, vital signs, ECG";"ALINA:  
Phase III; RCT (Randomized Controlled Trial), open, parallel, multicenter";2024-07-15-D-1079;"ALINA:  
Platinum-based chemotherapy"
1017;Enhertu;trastuzumab deruxtecan;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, HER2(ERBB2) mutation, pre-treated;2023-12-01;2024-05-16;2024-05-16;No;No;Enhertu is used as monotherapy for the treatment of adult patients with advanced NSCLC whose tumors have an activating HER2 (ERBB2) mutation and who require systemic therapy after platinum-based chemotherapy with or without immunotherapy.;a) Adults with advanced non-small cell lung cancer (NSCLC) whose tumors have an activating HER2 (ERBB2) mutation after prior treatment with platinum-containing chemotherapy without immunotherapy;9.0;25.0;17.0;"- Docetaxel (only for patients with PD-L1 negative tumors) or
- pemetrexed (only for patients with PD-L1 negative tumors and except in predominantly squamous histology) or
- nivolumab or
- pembrolizumab (only for patients with PD-L1 expressing tumors, Tumor Proportion Score (TPS) ≥ 1%) or
- atezolizumab or
- docetaxel in combination with nintedanib (only for patients with PD-L1 negative tumors and adenocarcinoma histology)";No additional benefit;Daiichi Sankyo Deutschland GmbH;Valid;Valid;New application area;No;Oncology;No additional benefit;ORR, assessed according to BICR, Confirmed ORR, assessed by the investigator, DOR, assessed according to BICR and by the investigator, DCR, PFS, Overall Survival, Quality of Life/PRO (EORTC QLQ-C30, EORTC QLQ-LC13), Safety, TTR;"DESTINY-Lung02:  
Randomized controlled trial (RCT), double-blind, parallel, multicenter, multinational, Phase II study";2023-12-01-D-990;"DESTINY-Lung02:  
Randomized clinical study with T‑DXd (Trastuzumab deruxtecan) as the product under assessment; no valid comparator available."
453;Keytruda;pembrolizumab;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, squamous cell histology, first-line, combination with carboplatin and (nab-) paclitaxel;2019-04-01;2019-09-19;2019-09-19;No;No;KEYTRUDA is indicated in combination with carboplatin and either paclitaxel or nab-paclitaxel for the first-line treatment of metastatic squamous NSCLC in adults.;b) Adult patients with first-line treatment of metastatic squamous NSCLC and PD-L1 expression of ≥ 50% (TPS1);1540.0;1610.0;1575.0;Pembrolizumab as monotherapy;No additional benefit;MSD Sharp & Dohme GmbH;Valid;Valid;New application area;No;Oncology;Considerable additional benefit;Overall Survival, Progression-Free Survival, Objective Response Rate, Duration of Response, Health-related Quality of Life and Symptomatology, Adverse Events;"KEYNOTE 407:  
Phase III randomized, active-controlled worldwide multicenter double-blind cross-over";2019-04-01-D-448;"KEYNOTE 407:  
Placebo, Carboplatin, Paclitaxel, nab-Paclitaxel"
186;Nivolumab BMS/Opdivo;nivolumab;Non-small cell lung cancer (NSCLC);Non-small cell lung carcinoma, squamous cell histology, after prior chemotherapy;2015-08-15;2016-02-04;2016-02-04;Yes;No;OPDIVO is indicated for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) with squamous cell histology after prior chemotherapy in adults.;1) Patients for whom treatment with docetaxel is indicated;3700.0;5200.0;4450.0;Docetaxel;Considerable additional benefit;Bristol-Myers Squibb GmbH & Co. KGaA;Valid;Valid;New application area;No;Oncology;Considerable additional benefit;Overall Survival (OS), Index value of disease-related symptoms according to LCSS, Health-related quality of life according to LCSS, Generic quality of life according to EQ-5D, Safety and tolerability (AEs);"CA209-017:  
open, parallel, RCT (Randomized Controlled Trial)";2015-08-15-D-184;"CA209-017:  
Docetaxel"
799;Lumykras;sotorasib;Non-small cell lung cancer (NSCLC);Non-small cell lung cancer, KRAS G12C mutation, ≥ 1 previous therapy;2022-02-15;2022-08-04;2022-08-04;No;No;Lumykras is used as monotherapy for the treatment of adults with advanced non-small cell lung cancer (NSCLC) with KRAS G12C mutation in whom progression has been observed after at least one previous systemic therapy.;a) Adults with advanced non-small cell lung cancer (NSCLC) with KRAS p.G12C mutation after first-line therapy with a PD-1/PD-L1 antibody as monotherapy;80.0;170.0;125.0;"- Cisplatin in combination with a third-generation cytostatic (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed (except in the case of predominantly squamous histology)) or
- carboplatin in combination with a third-generation cytostatic agent (vinorelbine or gemcitabine or docetaxel or paclitaxel or pemetrexed (except for predominantly squamous histology)) or
- carboplatin in combination with nab-paclitaxel or
- monotherapy with gemcitabine or vinorelbine (only for patients with ECOG performance status 2 as an alternative to platinum-based combination treatment)";No additional benefit;Amgen Europe B.V.;Valid;Changed;First indication;No;Oncology;No additional benefit;;;2022-02-15-D-787;
