last_update_date;brand_name;active_substance;disease_area;therapeutic_area;indication;yearly_price_avg_today_apu
2025-04-08;Retsevmo;selpercatinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, RET-fusion+, after platinum-based chemotherapy and/or immunotherapy;39791.9445
2025-04-08;Vargatef;nintedanib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer;24948.66
2025-04-08;Avastin;bevacizumab;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Tecentriq;atezolizumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, PD-L1 expression ≥ 50 % on TC or ≥ 10 % on IC, EGFR/ALK-negative, first-line;59649.21
2025-04-08;Gavreto;pralsetinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, non-small cell, RET-fusion+;
2025-04-08;Imjudo;tremelimumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, first-line, combination with durvalumab and platinum-based chemotherapy;
2025-04-08;Tecentriq;atezolizumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, PD-L1 expression ≥ 50 % of TC, EGFR/ALK-negative, adjuvant therapy after resection and chemotherapy;59018.024
2025-04-08;Tecentriq;atezolizumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, first-line, ineligible for platinum-based therapy;
2025-04-08;Taxotere;docetaxel;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Mektovi;binimetinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, BRAF V600 mutation, combination with encorafenib;
2025-04-08;Cyramza;ramucirumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer;250.0
2025-04-08;Keytruda;pembrolizumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung carcinoma, adjuvant therapy, after prior chemotherapy;723.01
2025-04-08;Rybrevant;amivantamab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer (NSCLC), EGFR mutations, pre-treated, combination with carboplatin and pemetrexed;139722.0
2025-04-08;Keytruda;pembrolizumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, first-line;74491.62
2025-04-08;Aybintio;bevacizumab;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Pazenir;paclitaxel;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Docetaxel Accord;docetaxel;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Xalkori;crizotinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, ALK+, pre-treated patients;53289.15
2025-04-08;Rozlytrek;entrectinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer (NSCLC), ROS1-positive, advanced, first-line;55701.31166666666
2025-04-08;Alunbrig;brigatinib;Non-small cell lung cancer (NSCLC);Oncology;NSCLC, ALK+, ALK-inhibitor-naive patients;61664.93
2025-04-08;Mvasi;bevacizumab;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Yervoy;ipilimumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, first-line, combination with nivolumab and platinum-based chemotherapy;48714.606
2025-04-08;Giotrif;afatinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, EGFR mutation, EGFR-TKI-naïve patients;25892.88
2025-04-08;Tepmetko;tepotinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, METex14 skipping, pre-treated patients;38781.13
2025-04-08;Tecentriq;atezolizumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, after prior chemotherapy;56471.28
2025-04-08;Apexelsin;paclitaxel;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Rybrevant;amivantamab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer (NSCLC), EGFR exon 20 insertion mutation, first-line, combination with carboplatin and pemetrexed;138919.0
2025-04-08;Vegzelma;bevacizumab;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Libtayo;cemiplimab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, first-line;60600.72
2025-04-08;Opdivo;nivolumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, PD-L1 expression ≥ 1%, neoadjuvant therapy, combination with platinum-based chemotherapy;10935.63
2025-04-08;Pemetrexed Fresenius Kabi;pemetrexed;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Alimta;pemetrexed;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Tagrisso;osimertinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, T790M-EGFR mutation;56604.69
2025-04-08;Lorviqua;lorlatinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, ALK+, pre-treated patients;53124.89833333333
2025-04-08;Enhertu;trastuzumab deruxtecan;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, HER2(ERBB2) mutation, pre-treated;
2025-04-08;Retsevmo;selpercatinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, RET-fusion+, first-line;39794.25535714286
2025-04-08;Tagrisso;osimertinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, first-line;56604.69
2025-04-08;Keytruda;pembrolizumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, non-squamous cell histology, first-line, combination with pemetrexed and platinum chemotherapy;74491.62
2025-04-08;Abraxane;paclitaxel;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Keytruda;pembrolizumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung carcinoma, neoadjuvant and adjuvant therapy, monotherapy or combination with platinum-based chemotherapy;76682.54999999999
2025-04-08;Xalkori;crizotinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, ROS1+;53289.15
2025-04-08;Pemetrexed Accord;pemetrexed;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Opdivo;nivolumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, combination with ipilimumab and platinum-based chemotherapy, first-line;66950.33
2025-04-08;Vizimpro;dacomitinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, EGFR mutation, first-line;22806.2149
2025-04-08;Tecentriq;atezolizumab;Non-small cell lung cancer (NSCLC);Oncology;"NSCLC, non-squamous, first-line, combination with nab-paclitaxel and carboplatin; maintenance therapy";57800.016
2025-04-08;Tagrisso;osimertinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, EGFR mutations, adjuvant therapy;56620.19
2025-04-08;Alecensa;alectinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, ALK+, first-line;62953.11
2025-04-08;Libtayo;cemiplimab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, first-line, PD-L1 expression ≥ 1%, combination with platinum-based chemotherapy;60600.72
2025-04-08;Tecentriq;atezolizumab;Non-small cell lung cancer (NSCLC);Oncology;"NSCLC, non-squamous, first-line, combination with bevacizumab, paclitaxel and carboplatin; maintenance therapy";57800.016
2025-04-08;Alecensa;alectinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, ALK+, after crizotinib pre-therapy;62953.11
2025-04-08;Zirabev;bevacizumab;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Lorviqua;lorlatinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, ALK+, first-line;53139.453100000006
2025-04-08;Keytruda;pembrolizumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, squamous cell histology, first-line, combination with carboplatin and (nab-) paclitaxel;74491.62
2025-04-08;Mekinist;trametinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, BRAF V600 mutation;42778.0
2025-04-08;Tevimbra;tislelizumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, adult patients, combination and monotherapy;
2025-04-08;Tarceva;erlotinib;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Iressa;gefitinib;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Braftovi;encorafenib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, advanced, BRAF V600E mutation, combination with binimetinib;54743.05
2025-04-08;Alecensa;alectinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, ALK+, high risk of recurrence, adjuvant therapy;62953.11
2025-04-08;Opdivo;nivolumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung carcinoma, non-squamous cell histology, after prior chemotherapy;63183.64
2025-04-08;Tagrisso;osimertinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, first-line, combination with pemetrexed and platinum-based chemotherapy;56604.69
2025-04-08;Oyavas;bevacizumab;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Imfinzi;durvalumab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, maintenance therapy;74705.02
2025-04-08;Naveruclif;paclitaxel;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Alunbrig;brigatinib;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, ALK+, after crizotinib pre-therapy;61664.93
2025-04-08;Abevmy;bevacizumab;Non-small cell lung cancer (NSCLC);Oncology;;
2025-04-08;Rybrevant;amivantamab;Non-small cell lung cancer (NSCLC);Oncology;Non-small cell lung cancer, EGFR exon 20 insertion mutation, after platinum-based therapy;
